id,app_id,package,target_sdk,min_sdk,max_sdk,valid,apk_type
273,bb.fwf.pokemon,bb.fwf.pokemon,25,18,,1,mobile
274,bb.fwf.pokemon,bb.fwf.pokemon,25,20,,1,embed_wearable
275,com.trinketworkshop.signalwatcface,com.trinketworkshop.signalwatcface,25,18,,1,mobile
276,com.trinketworkshop.signalwatcface,com.trinketworkshop.signalwatcface,25,21,,1,embed_wearable
277,nl.slisky.stopwatch,nl.slisky.stopwatch,25,14,,1,mobile
278,nl.slisky.stopwatch,nl.slisky.stopwatch,25,21,,1,embed_wearable
279,hu.rycus.watchface.stringtheory,hu.rycus.watchface.stringtheory,25,18,,1,mobile
280,hu.rycus.watchface.stringtheory,hu.rycus.watchface.stringtheory,25,23,,1,embed_wearable
281,net.mready.suitandtie.lite,net.mready.suitandtie.lite,25,18,,1,mobile
282,net.mready.suitandtie.lite,net.mready.suitandtie.lite,25,20,,1,embed_wearable
283,com.farmerbb.notepad.wear,com.farmerbb.notepad.wear,25,18,,1,mobile
284,com.farmerbb.notepad.wear,com.farmerbb.notepad.wear,25,23,,1,embed_wearable
285,com.virtualgs.retrowatch,com.virtualgs.retrowatch,25,18,,1,mobile
286,com.virtualgs.retrowatch,com.virtualgs.retrowatch,25,21,,1,embed_wearable
287,com.spotify.music,com.spotify.music,23,15,,1,mobile
288,com.spotify.music,com.spotify.music,23,21,,1,embed_wearable
289,com.virtualgs.nekowatch,com.virtualgs.nekowatch,23,18,,1,mobile
290,com.virtualgs.nekowatch,com.virtualgs.nekowatch,23,21,,1,embed_wearable
291,dd.watchdesigner.halloweennight,dd.watchdesigner.halloweennight,25,18,,1,mobile
292,dd.watchdesigner.halloweennight,dd.watchdesigner.halloweennight,25,21,,1,embed_wearable
293,org.thecosmicfrog.luasataglance,org.thecosmicfrog.luasataglance,25,16,,1,mobile
294,org.thecosmicfrog.luasataglance,org.thecosmicfrog.luasataglance,25,21,,1,embed_wearable
295,com.boost.snowman,com.boost.snowman,23,19,,1,mobile
296,com.boost.snowman,com.boost.snowman,23,21,,1,embed_wearable
297,eir.wear.fuzzy.free,eir.wear.fuzzy.free,23,18,,1,mobile
298,eir.wear.fuzzy.free,eir.wear.fuzzy.free,23,21,,1,embed_wearable
299,org.codechimp.qrwear,org.codechimp.qrwear,25,18,,1,mobile
300,org.codechimp.qrwear,org.codechimp.qrwear,24,23,,1,embed_wearable
301,com.tocapp.numberwaterfall,com.tocapp.numberwaterfall,25,16,,1,mobile
302,com.tocapp.numberwaterfall,com.tocapp.numberwaterfall,25,23,,1,embed_wearable
303,com.just4fun.mouseonscreen,com.just4fun.mouseonscreen,26,9,,1,mobile
304,com.just4fun.mouseonscreen,com.just4fun.mouseonscreen,26,20,,1,embed_wearable
305,bb.fwf.blank,bb.fwf.blank,25,18,,1,mobile
306,bb.fwf.blank,bb.fwf.blank,25,20,,1,embed_wearable
307,comx.detian.clockpuzzle,comx.detian.clockpuzzle,21,15,,1,mobile
308,comx.detian.clockpuzzle,comx.detian.clockpuzzle,21,20,,1,embed_wearable
309,com.andersonsolutions.weathertime,com.andersonsolutions.weathertime,23,18,,1,mobile
310,com.andersonsolutions.weathertime,com.andersonsolutions.weathertime,23,21,,1,embed_wearable
311,com.watch.richface.power,com.watch.richface.power,25,18,,1,mobile
312,com.watch.richface.power,com.watch.richface.power,25,23,,1,embed_wearable
313,dd.watchdesigner.heaven,dd.watchdesigner.heaven,25,18,,1,mobile
314,dd.watchdesigner.heaven,dd.watchdesigner.heaven,25,21,,1,embed_wearable
315,br.com.ridsoftware.shoppinglist,br.com.ridsoftware.shoppinglist,23,15,,1,mobile
316,br.com.ridsoftware.shoppinglist,br.com.ridsoftware.shoppinglist,23,23,,1,embed_wearable
317,fr.thema.wear.watch.rapier,fr.thema.wear.watch.rapier,22,18,,1,mobile
318,fr.thema.wear.watch.rapier,fr.thema.wear.watch.rapier,22,21,,1,embed_wearable
319,com.moletag.gallery,com.moletag.gallery,25,18,,1,mobile
320,com.moletag.gallery,com.moletag.gallery,25,20,,1,embed_wearable
321,com.sousoum.droneswear,com.sousoum.droneswear,25,21,,1,mobile
322,com.sousoum.droneswear,com.sousoum.droneswear,25,23,,1,embed_wearable
323,dd.watchdesigner.astrobot1,dd.watchdesigner.astrobot1,25,18,,1,mobile
324,dd.watchdesigner.astrobot1,dd.watchdesigner.astrobot1,25,21,,1,embed_wearable
325,com.xlabz.FindNearMe2,com.xlabz.FindNearMe2,25,16,,1,mobile
326,com.xlabz.FindNearMe2,com.xlabz.FindNearMe2,25,23,,1,embed_wearable
327,fr.thema.wear.watch.master,fr.thema.wear.watch.master,22,18,,1,mobile
328,fr.thema.wear.watch.master,fr.thema.wear.watch.master,22,21,,1,embed_wearable
329,com.kjsk.watchface.birds,com.kjsk.watchface.birds,25,18,,1,mobile
330,com.kjsk.watchface.birds,com.kjsk.watchface.birds,25,20,,1,embed_wearable
331,ca.ericw.memem,ca.ericw.memem,25,18,,1,mobile
332,ca.ericw.memem,ca.ericw.memem,25,23,,1,embed_wearable
333,org.uguess.android.sysinfo.wear,org.uguess.android.sysinfo.wear,23,20,,1,mobile
334,org.uguess.android.sysinfo.wear,org.uguess.android.sysinfo.wear,23,20,,1,embed_wearable
335,loveheartsladiesgents.wearound360squaretopro.diamondwatchfacepro,loveheartsladiesgents.wearound360squaretopro.diamondwatchfacepro,21,9,,1,mobile
336,loveheartsladiesgents.wearound360squaretopro.diamondwatchfacepro,loveheartsladiesgents.wearound360squaretopro.diamondwatchfacepro,21,21,,1,embed_wearable
337,com.jeremysteckling.facerrel,com.jeremysteckling.facerrel,25,18,,1,mobile
338,com.jeremysteckling.facerrel,com.jeremysteckling.facerrel,25,18,,1,embed_wearable
339,com.vansteinengroentjes.weartuner,com.vansteinengroentjes.weartuner,23,18,,1,mobile
340,com.vansteinengroentjes.weartuner,com.vansteinengroentjes.weartuner,23,21,,1,embed_wearable
341,com.virtualgs.saturn,com.virtualgs.saturn,25,18,,1,mobile
342,com.virtualgs.saturn,com.virtualgs.saturn,25,21,,1,embed_wearable
343,com.stylingandroid.matchtimer,com.stylingandroid.matchtimer,25,18,,1,mobile
344,com.stylingandroid.matchtimer,com.stylingandroid.matchtimer,25,23,,1,embed_wearable
345,slide.watchFrenzy,slide.watchFrenzy,25,9,,1,mobile
346,slide.watchFrenzy,slide.watchFrenzy,25,20,,1,embed_wearable
347,com.trinketworkshop.dailysequential,com.trinketworkshop.dailysequential,25,19,,1,mobile
348,com.trinketworkshop.dailysequential,com.trinketworkshop.dailysequential,25,21,,1,embed_wearable
349,com.nilhcem.hexawatch,com.nilhcem.hexawatch,25,18,,1,mobile
350,com.nilhcem.hexawatch,com.nilhcem.hexawatch,25,23,,1,embed_wearable
351,com.watch.richface.guard,com.watch.richface.guard,25,18,,1,mobile
352,com.watch.richface.guard,com.watch.richface.guard,25,23,,1,embed_wearable
353,com.pixplicity.stationsklok,com.pixplicity.stationsklok,25,18,,1,mobile
354,com.pixplicity.stationsklok,com.pixplicity.stationsklok,25,21,,1,embed_wearable
355,com.kjsk.watchface.jesus,com.kjsk.watchface.jesus,25,18,,1,mobile
356,com.kjsk.watchface.jesus,com.kjsk.watchface.jesus,25,20,,1,embed_wearable
357,com.jee.level,com.jee.level,25,14,,1,mobile
358,com.jee.level,com.jee.level,25,20,,1,embed_wearable
359,com.artas182x.mland,com.artas182x.mland,25,18,,1,mobile
360,com.artas182x.mland,com.artas182x.mland,25,20,,1,embed_wearable
361,com.just4fun.antsonscreen,com.just4fun.antsonscreen,25,9,,1,mobile
362,com.just4fun.antsonscreen,com.just4fun.antsonscreen,23,20,,1,embed_wearable
363,com.nickschwab.android.wear.simplefaces,com.nickschwab.android.wear.simplefaces,25,23,,1,mobile
364,com.nickschwab.android.wear.simplefaces,com.nickschwab.android.wear.simplefaces,25,23,,1,embed_wearable
365,watch.richface.androidwear.digitalvision,watch.richface.androidwear.digitalvision,25,19,,1,mobile
366,watch.richface.androidwear.digitalvision,watch.richface.androidwear.digitalvision,25,23,,1,embed_wearable
367,it.webxperience,it.webxperience,23,14,,1,mobile
368,it.webxperience,it.webxperience,22,20,,1,embed_wearable
369,com.appfour.wearmessages,com.appfour.wearmessages,21,18,,1,mobile
370,com.appfour.wearmessages,com.appfour.wearmessages,22,22,,1,embed_wearable
371,dd.watchdesigner.moderntimes,dd.watchdesigner.moderntimes,25,18,,1,mobile
372,dd.watchdesigner.moderntimes,dd.watchdesigner.moderntimes,25,21,,1,embed_wearable
373,fr.thema.wear.watch.phantom,fr.thema.wear.watch.phantom,22,18,,1,mobile
374,fr.thema.wear.watch.phantom,fr.thema.wear.watch.phantom,22,21,,1,embed_wearable
375,net.geekstools.floatshort,net.geekstools.floatshort,25,21,,1,mobile
376,net.geekstools.floatshort,net.geekstools.floatshort,25,25,,1,embed_wearable
377,dd.watchdesigner.amusement,dd.watchdesigner.amusement,25,18,,1,mobile
378,dd.watchdesigner.amusement,dd.watchdesigner.amusement,25,21,,1,embed_wearable
379,dd.watchdesigner.marin,dd.watchdesigner.marin,25,18,,1,mobile
380,dd.watchdesigner.marin,dd.watchdesigner.marin,25,21,,1,embed_wearable
381,com.virtualgs.doodlenote,com.virtualgs.doodlenote,22,18,,1,mobile
382,com.virtualgs.doodlenote,com.virtualgs.doodlenote,22,20,,1,embed_wearable
